"","status_id","status_message","link_name","status_type","status_link","status_published","num_reactions","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","year","month","day","hour","minute"
"1","348156187501_10154656453582502","b""If anyone needs me I'll be watching this video for the rest of the year""","","video","b'https://www.facebook.com/barstoolsports/videos/10154656453582502/'",2016-10-11 09:22:41,259135,80756,896877,212181,12463,226,34218,23,24,2016,10,11,9,22
"2","348156187501_10154676089152502","b'BODIED'","","video","b'https://www.facebook.com/barstoolsports/videos/10154676089152502/'",2016-10-16 15:34:33,19771,7543,50048,13245,492,165,5820,5,44,2016,10,16,15,34
"3","348156187501_10154574992232502","b""Rick Flair can't even go out for a nice dinner without being an absolute legend #wooooo Old Row""","","video","b'https://www.facebook.com/barstoolsports/videos/10154574992232502/'",2016-09-14 13:44:01,25165,11166,48205,22467,1061,47,1583,5,2,2016,9,14,13,44
"4","348156187501_10154587879647502","b'No one has ever been more afraid of a fight than this guy (via twitter/michaeljordyn2)'","","video","b'https://www.facebook.com/barstoolsports/videos/10154587879647502/'",2016-09-18 18:30:27,16058,16331,28942,10340,38,221,5390,29,40,2016,9,18,18,30
"5","348156187501_10154857512687502","b""Just cause the Raiders lost doesn't mean they're still not back (via Twitter/ForFriedom)""","","video","b'https://www.facebook.com/barstoolsports/videos/10154857512687502/'",2016-12-09 09:50:42,8435,6798,23539,6409,77,532,1349,31,37,2016,12,9,9,50
"6","348156187501_10154619103977502","b'A fan heckled team Europe about missing a putt, the fan got pulled out of the crowd to try it himself and nailed it http://trib.al/t38uAfB'","b'Fan Heckles Team Europe About A Missing Putt, Fan Gets Pulled Outta The Crowd To Putt It Himself, He Drills It'","link","b'http://trib.al/t38uAfB'",2016-09-29 13:03:15,16772,2337,19927,15313,311,61,1086,0,1,2016,9,29,13,3
"7","348156187501_10154628660972502","b'\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10154628660972502/?type=3'",2016-10-02 14:13:12,24583,850,14158,21633,648,24,2274,2,2,2016,10,2,14,13
"8","348156187501_10154723445612502","b""Here's the dildo launch from the stands. Just another Sunday in Buffalo""","","video","b'https://www.facebook.com/barstoolsports/videos/10154723445612502/'",2016-10-30 15:06:51,10139,4034,13984,7916,98,45,2072,3,5,2016,10,30,15,6
"9","348156187501_10154755056417502","b'As reported on the Barstool News Network, the following people all swore to move to Canada if Trump won'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10154755056417502/?type=3'",2016-11-09 00:44:44,13380,2566,12470,11864,387,23,1093,11,2,2016,11,9,0,44
"10","348156187501_10154281933062502","b""A woman's going viral for having creepy feet that have toes as long as her fingers http://trib.al/fuC64na""","b'A Woman Is Going Viral For Her Creepy Feet With Toes That Are As Long As Her Fingers'","link","b'http://trib.al/fuC64na'",2016-06-02 12:50:54,843,2498,12154,617,4,145,66,7,4,2016,6,2,12,50
"11","348156187501_10154756887717502","b'Hillary Clinton blew a 3-1 lead #Election2016'","","video","b'https://www.facebook.com/barstoolsports/videos/10154756887717502/'",2016-11-09 13:08:17,9556,3074,11975,8009,142,11,1381,4,9,2016,11,9,13,8
"12","348156187501_10154663062807502","b'Trebek put this poor chick in a BODYBAG \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80'","","video","b'https://www.facebook.com/barstoolsports/videos/10154663062807502/'",2016-10-13 10:14:03,11692,4921,11721,9390,129,158,1987,16,12,2016,10,13,10,14
"13","348156187501_10154550422387502","b'Legend already'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10154550422387502/?type=3'",2016-09-06 14:15:02,24380,1272,11602,20789,466,11,3106,7,1,2016,9,6,14,15
"14","348156187501_10154807021407502","b'Canadian Black Friday is an absolutely sickening sight'","","video","b'https://www.facebook.com/barstoolsports/videos/10154807021407502/'",2016-11-25 13:04:46,11506,1895,11423,9227,266,203,1780,12,18,2016,11,25,13,4
"15","348156187501_10154642808242502","b""Hey Roger Goodell Now Youse Can't Leave""","","video","b'https://www.facebook.com/barstoolsports/videos/10154642808242502/'",2016-10-07 08:33:57,5985,1337,11336,5232,172,5,572,2,2,2016,10,7,8,33
"16","348156187501_10153956798407502","b'The Undisputed Carolina Panther Super Bowl Anthem'","","video","b'https://www.facebook.com/barstoolsports/videos/10153956798407502/'",2016-01-29 18:29:37,5566,3045,10170,5566,0,0,0,0,0,2016,1,29,18,29
"17","348156187501_10154386453777502","b'Best Thing Patriot Fans Will Watch All Day'","b'Best Thing Patriot Fans Will Watch All Day'","video","b'https://www.facebook.com/barstoolsports/videos/10154386453777502/'",2016-07-13 12:15:21,6388,1718,9190,5812,156,3,416,0,1,2016,7,13,12,15
"18","348156187501_10154211742602502","b'Ted Cruz drops out of the race, immediately two-pieces his wife\nhttp://gph.is/1TkAvBB'","b'gph.is'","link","b'http://gph.is/1TkAvBB'",2016-05-03 20:11:29,5882,887,9128,4991,55,20,810,5,1,2016,5,3,20,11
"19","348156187501_10154650449452502","b'Revenge Tour -- One down.'","","video","b'https://www.facebook.com/barstoolsports/videos/10154650449452502/'",2016-10-09 15:31:41,6394,345,7599,5781,175,3,434,0,1,2016,10,9,15,31
"20","348156187501_10154818806537502","b'WELCOME TO THE ELECTRIC FACTORY'","","video","b'https://www.facebook.com/barstoolsports/videos/10154818806537502/'",2016-11-29 11:38:59,7163,6148,7285,5961,100,12,1085,3,2,2016,11,29,11,38
"21","348156187501_10153355159892502","b'#FreeTomBrady'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10153355159892502/?type=3'",2015-05-11 16:55:12,36307,1979,79140,36307,0,0,0,0,0,2015,5,11,16,55
